descriptor,cluster_class,scaler,n_clusters,cluster_class_params,calinski_harabasz_score,davies_bouldin_score
osnet,AgglomerativeClustering,norm,8,{'n_clusters': 8},6.057923065274861,0.5950297700081842
osnet,AgglomerativeClustering,norm,9,{'n_clusters': 9},5.771569455747574,0.5850406102731984
osnet,AgglomerativeClustering,norm,10,{'n_clusters': 10},5.49639228536005,0.5805469045079061
osnet,AgglomerativeClustering,norm,11,{'n_clusters': 11},5.567601589507653,0.5635384151104953
osnet,AgglomerativeClustering,norm,12,{'n_clusters': 12},5.578354559487214,0.5508393515818445
osnet,AgglomerativeClustering,norm,13,{'n_clusters': 13},5.516003696908351,0.5427820476296934
osnet,AgglomerativeClustering,norm,14,{'n_clusters': 14},5.34339929411244,0.5427257956163575
osnet,AgglomerativeClustering,norm,15,{'n_clusters': 15},5.221108986434568,0.5408434958586866
osnet,AgglomerativeClustering,norm,16,{'n_clusters': 16},5.199913426484874,0.5347131373704775
osnet,AgglomerativeClustering,norm,17,{'n_clusters': 17},5.106971989297969,0.5331904759522926
osnet,AgglomerativeClustering,norm,18,{'n_clusters': 18},5.03126436036881,0.5314378388353984
osnet,AgglomerativeClustering,norm,19,{'n_clusters': 19},4.926379973744147,0.5325724803451606
osnet,AgglomerativeClustering,norm,20,{'n_clusters': 20},4.885427435428023,0.5300127569301577
osnet,AgglomerativeClustering,norm,21,{'n_clusters': 21},4.815321382556154,0.529789771959344
osnet,AgglomerativeClustering,norm,22,{'n_clusters': 22},4.799245457078631,0.5267688605934535
osnet,AgglomerativeClustering,norm,23,{'n_clusters': 23},4.766279282255446,0.5249858519761293
osnet,AgglomerativeClustering,norm,24,{'n_clusters': 24},4.7143819210626265,0.5247257375897281
osnet,AgglomerativeClustering,norm,25,{'n_clusters': 25},5.383805735525935,0.542141620285352
osnet,AgglomerativeClustering,norm,26,{'n_clusters': 26},5.2968243315034655,0.5423418993947094
osnet,AgglomerativeClustering,norm,27,{'n_clusters': 27},5.2397376766372625,0.5408531641857117
osnet,AgglomerativeClustering,norm,28,{'n_clusters': 28},5.21280238775666,0.5380216030919651
osnet,AgglomerativeClustering,norm,29,{'n_clusters': 29},5.128829752208434,0.5394564098356223
osnet,AgglomerativeClustering,norm,30,{'n_clusters': 30},5.14850930369096,0.5351642606633099
osnet,AgglomerativeClustering,standard,2,{'n_clusters': 2},6.445242520865859,0.3839344176723827
osnet,AgglomerativeClustering,standard,3,{'n_clusters': 3},6.293716752252579,0.390176541127158
osnet,AgglomerativeClustering,standard,4,{'n_clusters': 4},6.405174531408505,0.38728342871913957
osnet,AgglomerativeClustering,standard,5,{'n_clusters': 5},7.156118348137992,0.37338051969223507
osnet,AgglomerativeClustering,standard,6,{'n_clusters': 6},7.154423900355251,0.37191652626609306
osnet,AgglomerativeClustering,standard,7,{'n_clusters': 7},7.4022871664526555,0.5086085662091447
osnet,AgglomerativeClustering,standard,8,{'n_clusters': 8},7.020988010750489,0.5010396566201346
osnet,AgglomerativeClustering,standard,9,{'n_clusters': 9},6.687536131754983,0.49727946709371934
osnet,AgglomerativeClustering,standard,10,{'n_clusters': 10},7.220639273078019,0.526301804459422
osnet,AgglomerativeClustering,standard,11,{'n_clusters': 11},7.32261120710618,0.5538752043859773
osnet,AgglomerativeClustering,standard,12,{'n_clusters': 12},7.132518140377252,0.5432353219715461
osnet,AgglomerativeClustering,standard,13,{'n_clusters': 13},6.676902807475226,0.49964582133580654
osnet,AgglomerativeClustering,standard,14,{'n_clusters': 14},6.4547790384569455,0.4997281208900294
osnet,AgglomerativeClustering,standard,15,{'n_clusters': 15},6.300233178143728,0.49778626454478053
osnet,AgglomerativeClustering,standard,16,{'n_clusters': 16},6.2595646921183965,0.49221571635158934
osnet,AgglomerativeClustering,standard,17,{'n_clusters': 17},6.125267063554013,0.4915457963219319
osnet,AgglomerativeClustering,standard,18,{'n_clusters': 18},6.00689167588991,0.49094302162969783
osnet,AgglomerativeClustering,standard,19,{'n_clusters': 19},5.94067497898842,0.48848628268026895
osnet,AgglomerativeClustering,standard,20,{'n_clusters': 20},5.867242240345871,0.4869248593566523
osnet,AgglomerativeClustering,standard,21,{'n_clusters': 21},5.754940062563227,0.48813373719458314
osnet,AgglomerativeClustering,standard,22,{'n_clusters': 22},5.662147623731522,0.48865966775336545
osnet,AgglomerativeClustering,standard,23,{'n_clusters': 23},5.651746937851173,0.4855968302123869
osnet,AgglomerativeClustering,standard,24,{'n_clusters': 24},5.6250327020390865,0.48346209177853244
osnet,AgglomerativeClustering,standard,25,{'n_clusters': 25},5.6260221873119205,0.48053075638849135
osnet,AgglomerativeClustering,standard,26,{'n_clusters': 26},5.5625338037908545,0.4807060496191435
osnet,AgglomerativeClustering,standard,27,{'n_clusters': 27},5.4935570737547845,0.48150164062843764
osnet,AgglomerativeClustering,standard,28,{'n_clusters': 28},6.20665729303853,0.49681461322571213
osnet,AgglomerativeClustering,standard,29,{'n_clusters': 29},6.142193735855126,0.49570801246090407
osnet,AgglomerativeClustering,standard,30,{'n_clusters': 30},6.063695296017986,0.49571429966198366
vdc_color,KMeans,norm,2,{'n_clusters': 2},8249.985108126066,4.944693619970773
vdc_color,KMeans,norm,3,{'n_clusters': 3},5180.125238492654,6.160960452377377
vdc_color,KMeans,norm,4,{'n_clusters': 4},3740.0767699690477,6.807029669751966
vdc_color,KMeans,norm,5,{'n_clusters': 5},3571.591836369109,6.385197272056066
vdc_color,KMeans,norm,6,{'n_clusters': 6},3176.2664984099083,6.038032774632808
vdc_color,KMeans,norm,7,{'n_clusters': 7},2873.695594613214,5.728260160659808
vdc_color,KMeans,norm,8,{'n_clusters': 8},2463.055851633915,5.5413674655159735
vdc_color,KMeans,norm,9,{'n_clusters': 9},2452.8127478651754,5.466505898255603
vdc_color,KMeans,norm,10,{'n_clusters': 10},2187.802841451557,5.2669915210251315
vdc_color,KMeans,norm,11,{'n_clusters': 11},2085.3818195524027,5.277997688059323
vdc_color,KMeans,norm,12,{'n_clusters': 12},2000.349580546827,5.377243103888024
vdc_color,KMeans,norm,13,{'n_clusters': 13},1952.5404971806427,5.228826373001431
vdc_color,KMeans,norm,14,{'n_clusters': 14},1858.9764650119002,4.999416949125416
vdc_color,KMeans,norm,15,{'n_clusters': 15},1684.53261199332,4.558978717829199
vdc_color,KMeans,norm,16,{'n_clusters': 16},1729.0506233239923,4.964434741017664
vdc_color,KMeans,norm,17,{'n_clusters': 17},1640.1835112041406,5.024386486131825
vdc_color,KMeans,norm,18,{'n_clusters': 18},1628.4224682245317,4.754772510280106
vdc_color,KMeans,norm,19,{'n_clusters': 19},1592.5790400166247,4.794223273697334
vdc_color,KMeans,norm,20,{'n_clusters': 20},1545.5331723955678,4.706362205015113
vdc_color,KMeans,norm,21,{'n_clusters': 21},1461.034958526115,4.681186293110903
vdc_color,KMeans,norm,22,{'n_clusters': 22},1458.1980435152143,4.776290117312937
vdc_color,KMeans,norm,23,{'n_clusters': 23},1331.034929336544,4.467538606347432
vdc_color,KMeans,norm,24,{'n_clusters': 24},1362.2944744643175,4.748369120257385
vdc_color,KMeans,norm,25,{'n_clusters': 25},1290.2843432509912,4.3396658065817375
vdc_color,KMeans,norm,26,{'n_clusters': 26},1259.380181205029,4.41819064528654
vdc_color,KMeans,norm,27,{'n_clusters': 27},1251.2512116404457,4.375396920882908
vdc_color,KMeans,norm,28,{'n_clusters': 28},1251.8312785526377,4.539108983438674
