descriptor,scaler,cluster_class,cluster_class_params,labels,n_clusters,calinski_harabasz_score,davies_bouldin_score
efficientnet-b7,std,DBSCAN,"{'eps': 16.0, 'min_samples': 64.0}",[-1  0 -1 ... -1 -1  0],2,62.77399463556362,22.75212389957434
efficientnet-b7,std,DBSCAN,"{'eps': 32.0, 'min_samples': 64.0}",[0 0 0 ... 0 0 0],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 64.0, 'min_samples': 64.0}",[0 0 0 ... 0 0 0],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 128.0, 'min_samples': 64.0}",[0 0 0 ... 0 0 0],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 256.0, 'min_samples': 64.0}",[0 0 0 ... 0 0 0],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 512.0, 'min_samples': 64.0}",[0 0 0 ... 0 0 0],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 0.25, 'min_samples': 128.0}",[-1 -1 -1 ... -1 -1 -1],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 0.5, 'min_samples': 128.0}",[-1 -1 -1 ... -1 -1 -1],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 1.0, 'min_samples': 128.0}",[-1 -1 -1 ... -1 -1 -1],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 2.0, 'min_samples': 128.0}",[-1 -1 -1 ... -1 -1 -1],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 4.0, 'min_samples': 128.0}",[-1 -1 -1 ... -1 -1 -1],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 8.0, 'min_samples': 128.0}",[-1 -1 -1 ... -1 -1 -1],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 16.0, 'min_samples': 128.0}",[-1  0 -1 ... -1 -1  0],2,62.724769722557355,22.73483020948962
efficientnet-b7,std,DBSCAN,"{'eps': 32.0, 'min_samples': 128.0}",[0 0 0 ... 0 0 0],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 64.0, 'min_samples': 128.0}",[0 0 0 ... 0 0 0],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 128.0, 'min_samples': 128.0}",[0 0 0 ... 0 0 0],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 256.0, 'min_samples': 128.0}",[0 0 0 ... 0 0 0],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 512.0, 'min_samples': 128.0}",[0 0 0 ... 0 0 0],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 0.25, 'min_samples': 256.0}",[-1 -1 -1 ... -1 -1 -1],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 0.5, 'min_samples': 256.0}",[-1 -1 -1 ... -1 -1 -1],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 1.0, 'min_samples': 256.0}",[-1 -1 -1 ... -1 -1 -1],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 2.0, 'min_samples': 256.0}",[-1 -1 -1 ... -1 -1 -1],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 4.0, 'min_samples': 256.0}",[-1 -1 -1 ... -1 -1 -1],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 8.0, 'min_samples': 256.0}",[-1 -1 -1 ... -1 -1 -1],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 16.0, 'min_samples': 256.0}",[-1  0 -1 ... -1 -1  0],2,62.60210432944725,22.71972924005063
efficientnet-b7,std,DBSCAN,"{'eps': 32.0, 'min_samples': 256.0}",[0 0 0 ... 0 0 0],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 64.0, 'min_samples': 256.0}",[0 0 0 ... 0 0 0],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 128.0, 'min_samples': 256.0}",[0 0 0 ... 0 0 0],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 256.0, 'min_samples': 256.0}",[0 0 0 ... 0 0 0],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 512.0, 'min_samples': 256.0}",[0 0 0 ... 0 0 0],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 0.25, 'min_samples': 512.0}",[-1 -1 -1 ... -1 -1 -1],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 0.5, 'min_samples': 512.0}",[-1 -1 -1 ... -1 -1 -1],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 1.0, 'min_samples': 512.0}",[-1 -1 -1 ... -1 -1 -1],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 2.0, 'min_samples': 512.0}",[-1 -1 -1 ... -1 -1 -1],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 4.0, 'min_samples': 512.0}",[-1 -1 -1 ... -1 -1 -1],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 8.0, 'min_samples': 512.0}",[-1 -1 -1 ... -1 -1 -1],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 16.0, 'min_samples': 512.0}",[-1  0 -1 ... -1 -1  0],2,62.399098127569964,22.68546166275882
efficientnet-b7,std,DBSCAN,"{'eps': 32.0, 'min_samples': 512.0}",[0 0 0 ... 0 0 0],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 64.0, 'min_samples': 512.0}",[0 0 0 ... 0 0 0],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 128.0, 'min_samples': 512.0}",[0 0 0 ... 0 0 0],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 256.0, 'min_samples': 512.0}",[0 0 0 ... 0 0 0],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 512.0, 'min_samples': 512.0}",[0 0 0 ... 0 0 0],1,,
efficientnet-b7,norm,HDBSCAN,{'min_cluster_size': 8},[-1 -1 -1 ... -1 -1 -1],1,,
efficientnet-b7,norm,HDBSCAN,{'min_cluster_size': 16},[-1 -1 -1 ... -1 -1 -1],1,,
efficientnet-b7,norm,HDBSCAN,{'min_cluster_size': 32},[-1 -1 -1 ... -1 -1 -1],1,,
efficientnet-b7,norm,HDBSCAN,{'min_cluster_size': 64},[-1 -1 -1 ... -1 -1 -1],1,,
efficientnet-b7,norm,HDBSCAN,{'min_cluster_size': 128},[-1 -1 -1 ... -1 -1 -1],1,,
efficientnet-b7,norm,HDBSCAN,{'min_cluster_size': 256},[-1 -1 -1 ... -1 -1 -1],1,,
efficientnet-b7,norm,HDBSCAN,{'min_cluster_size': 512},[-1 -1 -1 ... -1 -1 -1],1,,
efficientnet-b7,std,HDBSCAN,{'min_cluster_size': 8},[-1 -1 -1 ... -1 -1 -1],1,,
efficientnet-b7,std,HDBSCAN,{'min_cluster_size': 16},[-1 -1 -1 ... -1 -1 -1],1,,
efficientnet-b7,std,HDBSCAN,{'min_cluster_size': 32},[-1 -1 -1 ... -1 -1 -1],1,,
efficientnet-b7,std,HDBSCAN,{'min_cluster_size': 64},[-1 -1 -1 ... -1 -1 -1],1,,
efficientnet-b7,std,HDBSCAN,{'min_cluster_size': 128},[-1 -1 -1 ... -1 -1 -1],1,,
efficientnet-b7,std,HDBSCAN,{'min_cluster_size': 256},[-1 -1 -1 ... -1 -1 -1],1,,
efficientnet-b7,std,HDBSCAN,{'min_cluster_size': 512},[-1 -1 -1 ... -1 -1 -1],1,,
osnet,norm,KMeans,{'n_clusters': 2},[1 1 1 ... 1 1 1],2,577.2060871380562,4.105117279774246
osnet,norm,KMeans,{'n_clusters': 3},[0 0 0 ... 0 1 1],3,1057.1808024096042,4.643684635147488
osnet,norm,KMeans,{'n_clusters': 4},[1 1 0 ... 1 0 0],4,917.9592422587218,5.345485064158574
