descriptor,cluster_class,scaler,n_clusters,calinski_harabasz_score,davies_bouldin_score
osnet,AgglomerativeClustering,norm,20,4.885427435428023,0.5300127569301577
osnet,AgglomerativeClustering,norm,21,4.815321382556154,0.529789771959344
osnet,AgglomerativeClustering,norm,22,4.799245457078631,0.5267688605934535
osnet,AgglomerativeClustering,norm,23,4.766279282255446,0.5249858519761293
osnet,AgglomerativeClustering,norm,24,4.7143819210626265,0.5247257375897281
osnet,AgglomerativeClustering,norm,25,5.383805735525935,0.542141620285352
osnet,AgglomerativeClustering,norm,26,5.2968243315034655,0.5423418993947094
osnet,AgglomerativeClustering,norm,27,5.2397376766372625,0.5408531641857117
osnet,AgglomerativeClustering,norm,28,5.21280238775666,0.5380216030919651
osnet,AgglomerativeClustering,norm,29,5.128829752208434,0.5394564098356223
osnet,AgglomerativeClustering,norm,30,5.14850930369096,0.5351642606633099
osnet,AgglomerativeClustering,standard,2,6.445242520865859,0.3839344176723827
osnet,AgglomerativeClustering,standard,3,6.293716752252579,0.390176541127158
osnet,AgglomerativeClustering,standard,4,6.405174531408505,0.38728342871913957
osnet,AgglomerativeClustering,standard,5,7.156118348137992,0.37338051969223507
osnet,AgglomerativeClustering,standard,6,7.154423900355251,0.37191652626609306
osnet,AgglomerativeClustering,standard,7,7.4022871664526555,0.5086085662091447
osnet,AgglomerativeClustering,standard,8,7.020988010750489,0.5010396566201346
osnet,AgglomerativeClustering,standard,9,6.687536131754983,0.49727946709371934
osnet,AgglomerativeClustering,standard,10,7.220639273078019,0.526301804459422
osnet,AgglomerativeClustering,standard,11,7.32261120710618,0.5538752043859773
osnet,AgglomerativeClustering,standard,12,7.132518140377252,0.5432353219715461
osnet,AgglomerativeClustering,standard,13,6.676902807475226,0.49964582133580654
osnet,AgglomerativeClustering,standard,14,6.4547790384569455,0.4997281208900294
osnet,AgglomerativeClustering,standard,15,6.300233178143728,0.49778626454478053
osnet,AgglomerativeClustering,standard,16,6.2595646921183965,0.49221571635158934
osnet,AgglomerativeClustering,standard,17,6.125267063554013,0.4915457963219319
osnet,AgglomerativeClustering,standard,18,6.00689167588991,0.49094302162969783
osnet,AgglomerativeClustering,standard,19,5.94067497898842,0.48848628268026895
osnet,AgglomerativeClustering,standard,20,5.867242240345871,0.4869248593566523
osnet,AgglomerativeClustering,standard,21,5.754940062563227,0.48813373719458314
osnet,AgglomerativeClustering,standard,22,5.662147623731522,0.48865966775336545
osnet,AgglomerativeClustering,standard,23,5.651746937851173,0.4855968302123869
osnet,AgglomerativeClustering,standard,24,5.6250327020390865,0.48346209177853244
osnet,AgglomerativeClustering,standard,25,5.6260221873119205,0.48053075638849135
osnet,AgglomerativeClustering,standard,26,5.5625338037908545,0.4807060496191435
osnet,AgglomerativeClustering,standard,27,5.4935570737547845,0.48150164062843764
osnet,AgglomerativeClustering,standard,28,6.20665729303853,0.49681461322571213
osnet,AgglomerativeClustering,standard,29,6.142193735855126,0.49570801246090407
osnet,AgglomerativeClustering,standard,30,6.063695296017986,0.49571429966198366
vdc_color,KMeans,norm,2,8249.985218444901,4.944694620416284
vdc_color,KMeans,norm,3,5180.125242135454,6.161010497015887
vdc_color,KMeans,norm,4,3740.0813129644753,6.8054749103087735
vdc_color,KMeans,norm,5,3571.5908730205197,6.385132413667213
vdc_color,KMeans,norm,6,3176.2663553037946,6.038008644963508
vdc_color,KMeans,norm,7,2873.6991879934726,5.728373844341701
vdc_color,KMeans,norm,8,2463.0513162300426,5.541538141829174
vdc_color,KMeans,norm,9,2452.8051365047436,5.466540762269784
vdc_color,KMeans,norm,10,2187.805542351637,5.267081491115995
vdc_color,KMeans,norm,11,2085.3848611502112,5.278257133501655
vdc_color,KMeans,norm,12,2000.3502876203165,5.3769732382115905
vdc_color,KMeans,norm,13,1952.5771230561274,5.22781248445503
vdc_color,KMeans,norm,14,1858.9762241943345,4.999295099417528
vdc_color,KMeans,norm,15,1684.5354924196754,4.559030122789249
vdc_color,KMeans,norm,16,1728.904306463515,4.963773355742958
vdc_color,KMeans,norm,17,1640.1810703881797,5.024585209650788
vdc_color,KMeans,norm,18,1628.424993474338,4.754929332725139
vdc_color,KMeans,norm,19,1592.5249687876585,4.7948209510948745
vdc_color,KMeans,norm,20,1545.5429392018818,4.706501224489657
vdc_color,KMeans,norm,21,1461.0353506975523,4.681198323326131
vdc_color,KMeans,norm,22,1458.1961046779188,4.776171307276277
vdc_color,KMeans,norm,23,1331.034745883517,4.467403845595512
vdc_color,KMeans,norm,24,1362.3794194897882,4.746515347022079
vdc_color,KMeans,norm,25,1290.264676769888,4.340262977172657
vdc_color,KMeans,norm,26,1259.3792944821125,4.418551268413937
vdc_color,KMeans,norm,27,1251.2568232661408,4.375245511486981
vdc_color,KMeans,norm,28,1251.8112552974924,4.538662410575559
vdc_color,KMeans,norm,29,1227.0893303246978,4.604293131331988
vdc_color,KMeans,norm,30,1210.6125405836906,4.581822590470584
vdc_color,KMeans,standard,2,1743.521944840929,10.509423806218424
vdc_color,KMeans,standard,3,1331.600573782336,8.363429395179054
vdc_color,KMeans,standard,4,1516.2462901570952,8.304782609956016
vdc_color,KMeans,standard,5,1455.1805893653357,7.327433881129598
vdc_color,KMeans,standard,6,1474.249595032273,6.82356013127202
vdc_color,KMeans,standard,7,1468.221940007976,6.5399622376780036
vdc_color,KMeans,standard,8,1341.3047177085075,6.413706421332315
vdc_color,KMeans,standard,9,1373.267709088804,6.161284528575872
vdc_color,KMeans,standard,10,1304.9356461114867,5.871369231536695
vdc_color,KMeans,standard,11,1325.6230243222344,5.802038781042923
vdc_color,KMeans,standard,12,1254.067810456784,5.64933099302404
vdc_color,KMeans,standard,13,1182.4401486940405,5.424156884445964
vdc_color,KMeans,standard,14,1227.347101657331,5.526462095372573
vdc_color,KMeans,standard,15,1183.3933914886275,5.444116450926919
vdc_color,KMeans,standard,16,1112.1284645407654,5.215448892811571
vdc_color,KMeans,standard,17,1034.399641793827,4.889726242265951
vdc_color,KMeans,standard,18,1064.1818030914214,5.0713515233403745
vdc_color,KMeans,standard,19,1100.7226558697369,5.156296523929183
vdc_color,KMeans,standard,20,1023.5557983608521,4.893943284824525
vdc_color,KMeans,standard,21,1050.6780899905636,5.012095869603064
vdc_color,KMeans,standard,22,1027.51603085639,5.007600204247162
vdc_color,KMeans,standard,23,965.0342548859522,4.792813004931164
vdc_color,KMeans,standard,24,992.0729661373201,4.911536868678576
vdc_color,KMeans,standard,25,955.1471177797357,4.816786535804911
vdc_color,KMeans,standard,26,953.5183894131659,4.801735552940794
vdc_color,KMeans,standard,27,898.2526328246558,4.643028863632032
vdc_color,KMeans,standard,28,894.9761075455584,4.717336088016571
vdc_color,KMeans,standard,29,896.7692901535718,4.828587484938244
vdc_color,KMeans,standard,30,853.4670205213127,4.490427077773364
vdc_color,AgglomerativeClustering,norm,2,5.620887412793384,0.4155273335807869
vdc_color,AgglomerativeClustering,norm,3,5.355804639935749,0.4295976734175837
vdc_color,AgglomerativeClustering,norm,4,5.204190468879089,0.43554480332985296
vdc_color,AgglomerativeClustering,norm,5,5.111425973017694,0.4386839179583754
vdc_color,AgglomerativeClustering,norm,6,4.91747525641738,0.4522463665595644
vdc_color,AgglomerativeClustering,norm,7,5.241267621594733,0.44137240389328386
vdc_color,AgglomerativeClustering,norm,8,5.056822154702522,0.449615507750065
vdc_color,AgglomerativeClustering,norm,9,5.097446028656777,0.4468437577589832
vdc_color,AgglomerativeClustering,norm,10,4.973786225793077,0.45151531771385744
vdc_color,AgglomerativeClustering,norm,11,4.839212143488491,0.4594496748597466
vdc_color,AgglomerativeClustering,norm,12,4.734554921248072,0.46391401404617066
vdc_color,AgglomerativeClustering,norm,13,4.666023882680709,0.46654409551575454
vdc_color,AgglomerativeClustering,norm,14,4.567719221061282,0.47274019368850784
vdc_color,AgglomerativeClustering,norm,15,4.524036307300053,0.47424622864217897
vdc_color,AgglomerativeClustering,norm,16,4.446143257068538,0.478383085780756
vdc_color,AgglomerativeClustering,norm,17,4.523445188666434,0.4745525599304899
vdc_color,AgglomerativeClustering,norm,18,4.5586859246736084,0.4723715695623211
vdc_color,AgglomerativeClustering,norm,19,4.59579583228442,0.4701911713114246
vdc_color,AgglomerativeClustering,norm,20,4.541082746312774,0.47280479831083017
vdc_color,AgglomerativeClustering,norm,21,4.546461187894831,0.4720501406911419
vdc_color,AgglomerativeClustering,norm,22,4.524494009995982,0.4727509752903837
vdc_color,AgglomerativeClustering,norm,23,4.4743269982452345,0.4753582424732868
vdc_color,AgglomerativeClustering,norm,24,4.42803275149599,0.4777850280837564
vdc_color,AgglomerativeClustering,norm,25,4.402429767595945,0.4788550923201427
vdc_color,AgglomerativeClustering,norm,26,4.373887460902675,0.4801676576564843
vdc_color,AgglomerativeClustering,norm,27,4.359263219729588,0.48064370341886153
vdc_color,AgglomerativeClustering,norm,28,4.331537444288368,0.48199643981670326
vdc_color,AgglomerativeClustering,norm,29,4.2923065313954964,0.48462458551856713
vdc_color,AgglomerativeClustering,norm,30,4.260051311612969,0.4863960326344386
vdc_color,AgglomerativeClustering,standard,2,5.983333278057021,0.40239035854936395
vdc_color,AgglomerativeClustering,standard,3,5.718682722728119,0.41510885085956506
vdc_color,AgglomerativeClustering,standard,4,5.544173632328279,0.4218874465439382
vdc_color,AgglomerativeClustering,standard,5,5.394121743961967,0.42821471495219665
vdc_color,AgglomerativeClustering,standard,6,5.195926911503473,0.43942675706255857
vdc_color,AgglomerativeClustering,standard,7,5.479992386715226,0.43018109820675965
vdc_color,AgglomerativeClustering,standard,8,5.2486834349789895,0.44301243023945364
vdc_color,AgglomerativeClustering,standard,9,5.103731431878393,0.44787507285176736
vdc_color,AgglomerativeClustering,standard,10,4.984218737835328,0.45213190256255303
vdc_color,AgglomerativeClustering,standard,11,5.089387982890801,0.44745144166074
vdc_color,AgglomerativeClustering,standard,12,4.979258146594854,0.4518193439150347
vdc_color,AgglomerativeClustering,standard,13,4.931322263578341,0.4531451833093557
vdc_color,AgglomerativeClustering,standard,14,4.872585435459391,0.45521810270523255
vdc_color,AgglomerativeClustering,standard,15,4.780663825042017,0.46078883277770244
vdc_color,AgglomerativeClustering,standard,16,4.704610081206268,0.46423736582781283
vdc_color,AgglomerativeClustering,standard,17,4.657772316696615,0.46604473629540427
vdc_color,AgglomerativeClustering,standard,18,4.637713562057599,0.46647472722990024
vdc_color,AgglomerativeClustering,standard,19,4.752751692906325,0.4619249059747652
vdc_color,AgglomerativeClustering,standard,20,4.69022176955941,0.4649766180344869
vdc_color,AgglomerativeClustering,standard,21,4.645409231710927,0.46690102388577776
vdc_color,AgglomerativeClustering,standard,22,4.67061597708622,0.46534755179210663
vdc_color,AgglomerativeClustering,standard,23,4.616784103403384,0.4682919142705057
vdc_color,AgglomerativeClustering,standard,24,4.565330209935473,0.4710855695502845
vdc_color,AgglomerativeClustering,standard,25,4.530149928305935,0.4726553449836406
vdc_color,AgglomerativeClustering,standard,26,4.64459879983179,0.5060222606340169
vdc_color,AgglomerativeClustering,standard,27,4.6283204204478965,0.505026316847264
vdc_color,AgglomerativeClustering,standard,28,4.581595364877495,0.5061509706029003
